m is 197
  i   S
-------
  0   0
  1   2
  2   3
  3   5
  4   7
  5  11
  6  13
  7  17
  8  19
  9  23
 10  29
 11  31
 12  37
 13  41
 14  43
 15  47
   i   card  C
-----------------
  29    8   16
  29    9   16
  29   10   16
  29   11   16
  29   12   16
  29   13   16
  29   14   16
  29   15   16
  30    1   16
  30    2    7
  30    3    7
  30    4   16
  30    5    6
  30    6   16
  30    7   16
  30    8   16
  30    9   16
  30   10   16
  30   11   16
  30   12   16
  30   13   16
  30   14   16
  30   15   16
  31    1   11
  31    2   10
  31    3    6
  31    4    6
  31    5   16
  31    6   16
  31    7   16
  31    8   16
  31    9   16
  31   10   16
  31   11   16
  31   12   16
  31   13   16
  31   14   16
  31   15   16
  32    1   16
  32    2    8
  32    3    7
  32    4    6
  32    5   16
  32    6   16
  32    7   16
  32    8   16
  32    9   16
  32   10   16
  32   11   16
  32   12   16
  32   13   16
  32   14   16
  32   15   16
  33    1   16
  33    2   11
  33    3    7
  33    4    6
  33    5   16
  33    6   16
  33    7   16
  33    8   16
  33    9   16
  33   10   16
  33   11   16
  33   12   16
  33   13   16
  33   14   16
  33   15   16
  34    1   16
  34    2    9
  34    3    8
  34    4    6
  34    5    6
  34    6   16
  34    7   16
  34    8   16
  34    9   16
  34   10   16
  34   11   16
  34   12   16
  34   13   16
  34   14   16
  34   15   16
  35    1   16
  35    2   16
  35    3    7
  35    4    7
  35    5   16
  35    6   16
  35    7   16
  35    8   16
  35    9   16
  35   10   16
  35   11   16
  35   12   16
  35   13   16
  35   14   16
  35   15   16
  36    1   16
  36    2    8
  36    3    9
  36    4    6
  36    5    6
  36    6   16
  36    7   16
  36    8   16
  36    9   16
  36   10   16
  36   11   16
  36   12   16
  36   13   16
  36   14   16
  36   15   16
  37    1   12
  37    2   16
  37    3    7
  37    4    7
  37    5   16
  37    6   16
  37    7   16
  37    8   16
  37    9   16
  37   10   16
  37   11   16
  37   12   16
  37   13   16
  37   14   16
  37   15   16
  38    1   16
  38    2   11
  38    3    8
  38    4    7
  38    5    6
  38    6   16
  38    7   16
  38    8   16
  38    9   16
  38   10   16
  38   11   16
  38   12   16
  38   13   16
  38   14   16
  38   15   16
  39    1   16
  39    2   12
  39    3    8
  39    4    7
  39    5    6
  39    6   16
  39    7   16
  39    8   16
  39    9   16
  39   10   16
  39   11   16
  39   12   16
  39   13   16
  39   14   16
  39   15   16
  40    1   16
  40    2    9
  40    3   11
  40    4    7
  40    5    7
  40    6   16
  40    7   16
  40    8   16
  40    9   16
  40   10   16
  40   11   16
  40   12   16
  40   13   16
  40   14   16
  40   15   16
  41    1   13
  41    2   16
  41    3    7
  41    4    8
  41    5   16
  41    6    6
  41    7   16
  41    8   16
  41    9   16
  41   10   16
  41   11   16
  41   12   16
  41   13   16
  41   14   16
  41   15   16
  42    1   16
  42    2    9
  42    3    9
  42    4    7
  42    5    7
  42    6   16
  42    7   16
  42    8   16
  42    9   16
  42   10   16
  42   11   16
  42   12   16
  42   13   16
  42   14   16
  42   15   16
  43    1   14
  43    2   13
  43    3    8
  43    4    7
  43    5    7
  43    6   16
  43    7   16
  43    8   16
  43    9   16
  43   10   16
  43   11   16
  43   12   16
  43   13   16
  43   14   16
  43   15   16
  44    1   16
  44    2   11
  44    3    9
  44    4    7
  44    5    7
  44    6   16
  44    7   16
  44    8   16
  44    9   16
  44   10   16
  44   11   16
  44   12   16
  44   13   16
  44   14   16
  44   15   16
  45    1   16
  45    2   14
  45    3    9
  45    4    8
  45    5    7
  45    6    7
  45    7   16
  45    8   16
  45    9   16
  45   10   16
  45   11   16
  45   12   16
  45   13   16
  45   14   16
  45   15   16
  46    1   16
  46    2   10
  46    3   11
  46    4    7
  46    5    7
  46    6   16
  46    7   16
  46    8   16
  46    9   16
  46   10   16
  46   11   16
  46   12   16
  46   13   16
  46   14   16
  46   15   16
  47    1   15
  47    2   16
  47    3    8
  47    4    9
  47    5    8
  47    6    7
  47    7   16
  47    8   16
  47    9   16
  47   10   16
  47   11   16
  47   12   16
  47   13   16
  47   14   16
  47   15   16
  48    1   16
  48    2   10
  48    3   10
  48    4    7
  48    5    7
  48    6   16
  48    7   16
  48    8   16
  48    9   16
  48   10   16
  48   11   16
  48   12   16
  48   13   16
  48   14   16
  48   15   16
  49    1   16
  49    2   15
  49    3    8
  49    4    8
  49    5    7
  49    6    8
  49    7   16
  49    8   16
  49    9   16
  49   10   16
  49   11   16
  49   12   16
  49   13   16
  49   14   16
  49   15   16
  50    1   16
  50    2   11
  50    3   10
  50    4    8
  50    5    7
  50    6   16
  50    7   16
  50    8   16
  50    9   16
  50   10   16
  50   11   16
  50   12   16
  50   13   16
  50   14   16
  50   15   16
  51    1   16
  51    2   16
  51    3    9
  51    4    8
  51    5    7
  51    6    7
  51    7   16
  51    8   16
  51    9   16
  51   10   16
  51   11   16
  51   12   16
  51   13   16
  51   14   16
  51   15   16
  52    1   16
  52    2   10
  52    3   11
  52    4    8
  52    5    8
  52    6   16
  52    7   16
  52    8   16
  52    9   16
  52   10   16
  52   11   16
  52   12   16
  52   13   16
  52   14   16
  52   15   16
  53    1   16
  53    2   16
  53    3    9
  53    4    9
  53    5    7
  53    6    7
  53    7   16
  53    8   16
  53    9   16
  53   10   16
  53   11   16
  53   12   16
  53   13   16
  53   14   16
  53   15   16
  54    1   16
  54    2   11
  54    3   10
  54    4    8
  54    5    8
  54    6   16
  54    7   16
  54    8   16
  54    9   16
  54   10   16
  54   11   16
  54   12   16
  54   13   16
  54   14   16
  54   15   16
  55    1   16
  55    2   16
  55    3    9
  55    4    9
  55    5    8
  55    6    7
  55    7   16
  55    8   16
  55    9   16
  55   10   16
  55   11   16
  55   12   16
  55   13   16
  55   14   16
  55   15   16
  56    1   16
  56    2   12
  56    3   11
  56    4    8
  56    5    8
  56    6    7
  56    7   16
  56    8   16
  56    9   16
  56   10   16
  56   11   16
  56   12   16
  56   13   16
  56   14   16
  56   15   16
  57    1   16
  57    2   16
  57    3   10
  57    4    9
  57    5    8
  57    6    8
  57    7   16
  57    8   16
  57    9   16
  57   10   16
  57   11   16
  57   12   16
  57   13   16
  57   14   16
  57   15   16
  58    1   16
  58    2   13
  58    3   12
  58    4    9
  58    5    8
  58    6    8
  58    7    7
  58    8   16
  58    9   16
  58   10   16
  58   11   16
  58   12   16
  58   13   16
  58   14   16
  58   15   16
  59    1   16
  59    2   16
  59    3    9
  59    4   10
  59    5    8
  59    6    8
